national_team,club_name,estimated_training_years,players_trained
Portugal,Infesta,3,1
Portugal,Nacional,3,1
Portugal,Real Massamá,3,1
Portugal,Vianense,3,1
Qatar,Al Markhiya,3,1
Qatar,Balma SC,3,1
Qatar,Mem Martins,3,1
Qatar,Seraing,3,1
Saudi Arabia,Wej,3,1
Scotland,Ayr United FC,3,1
Scotland,Crewe Alexandra,3,1
Scotland,Hamilton Academical,3,1
Scotland,St Andrews,3,1
Senegal,AMCS Comines,3,1
Senegal,CS Municipaux Le Havre,3,1
Senegal,Diambars FC,3,1
Senegal,ES Guyancourt,3,1
Senegal,Galaxy Football,3,1
Senegal,Strasbourg,3,1
Spain,La Torreta,3,1
Spain,Real Sociedad,3,1
Spain,Tegueste,3,1
Sweden,Råsunda,3,1
Sweden,Västerås SK,3,1
Switzerland,Concordia Basel,3,1
Switzerland,FC Lausanne-Sport,3,1
Switzerland,Nordstern,3,1
Switzerland,Old Boys,3,1
Tunisia,AB,3,1
Tunisia,AS Outre-Mer du Bois l'Abbé,3,1
Tunisia,Brøndby,3,1
Tunisia,Manchester City,3,1
Tunisia,Marseille,3,1
Tunisia,Rennes,3,1
Türkiye,Fenerspor,3,1
Türkiye,Feyenoord,3,1
Türkiye,Gölcükspor,3,1
Türkiye,Karamürsel Idmanyurduspor,3,1
Türkiye,Olympia Haarlem,3,1
Türkiye,Yamanspor,3,1
USA,Paris Saint-Germain,3,1
USA,St. Joseph's Regional High School,3,1
USA,Weston FC,3,1
Australia,Adelaide United,2,2
Australia,Endeavour United,2,2
DR Congo,Zulte Waregem,2,2
Jordan,Al-Jazeera,2,2
Switzerland,Young Boys,2,2
Uruguay,Montevideo Wanderers,2,2
Algeria,Angers,2,1
Algeria,PSV,2,1
Algeria,Paris FC,2,1
Algeria,Paris Saint-Germain,2,1
Algeria,Sint-Truiden,2,1
Argentina,Banfield,2,1
Australia,Dundee United,2,1
Australia,FW NTC,2,1
Australia,Green Gully,2,1
Australia,Marconi Stallions,2,1
Austria,1. Wiener Neustädter SC,2,1
Austria,Admira Villach [ de ],2,1
Austria,DSV Leoben,2,1
Austria,SV Aspern,2,1
Belgium,KFC Wintam,2,1
Bosnia and Herzegovina,Austria Kärnten,2,1
Bosnia and Herzegovina,Chicago Fire,2,1
Bosnia and Herzegovina,SC Wave,2,1
Brazil,América Mineiro,2,1
Brazil,Audax Rio de Janeiro EC,2,1
Brazil,Náutico,2,1
Brazil,Tupynambás,2,1
Cabo Verde,Linda-a-Velha,2,1
Cabo Verde,Olivais,2,1
Cabo Verde,Real SC,2,1
Cabo Verde,Rennes,2,1
Cabo Verde,Sporting,2,1
Cabo Verde,Vitória Setúbal,2,1
Canada,ANB Futbol,2,1
Canada,Celtix du Haut-Richelieu,2,1
Canada,Gloucester Dragons,2,1
Colombia,Envigado,2,1
Croatia,Hrvatski Dragovoljac,2,1
Croatia,Iskra Bugojno,2,1
Croatia,SC Fürstenfeldbruck,2,1
Croatia,Trešnjevka,2,1
Curaçao,A.V.V. Zeeburgia,2,1
Curaçao,ASC Waterwijk,2,1
Curaçao,Always Forward,2,1
Curaçao,GRC Groningen,2,1
Curaçao,USV Elinkwijk,2,1
Curaçao,VV Union [ nl ],2,1
Curaçao,Zwaluwen '30,2,1
Czechia,FC Melník,2,1
Côte d'Ivoire,AS Denguélé,2,1
Côte d'Ivoire,Boca Barco,2,1
Côte d'Ivoire,Caen,2,1
Côte d'Ivoire,La Rochelle Villeneuve,2,1
Côte d'Ivoire,Le Havre,2,1
Côte d'Ivoire,Tours,2,1
DR Congo,Boulogne-Billancourt,2,1
DR Congo,E.S. La Grace,2,1
DR Congo,Fleury,2,1
DR Congo,Linas-Montlhéry,2,1
DR Congo,Lyon,2,1
DR Congo,Maccabi Paris,2,1
DR Congo,Mechelen,2,1
DR Congo,Mputu,2,1
DR Congo,Paris Saint-Germain,2,1
DR Congo,Reims,2,1
DR Congo,Sochaux,2,1
DR Congo,Valenciennes,2,1
DR Congo,Villeneuvois,2,1
Ecuador,C.S. Norte América,2,1
Ecuador,Colorados Jaipadida,2,1
Ecuador,Emelec Esmeraldas,2,1
Ecuador,VfL Wolfsburg,2,1
Egypt,Ittihad Basyoun,2,1
Egypt,Othmason Tanta,2,1
England,Stourbridge Juniors,2,1
France,Alfortville,2,1
France,Boulogne-Billancourt,2,1
France,Cérons,2,1
France,FC De Prey,2,1
France,FCTLF,2,1
France,Monaco,2,1
France,Pau,2,1
France,Pôle Espoirs Castelmaurou,2,1
France,Rayo Majadahonda,2,1
France,Saint-Étienne,2,1
France,Sochaux,2,1
France,Toulouse,2,1
France,Valenciennes,2,1
Germany,Alemannia Aachen,2,1
Germany,Borussia Dortmund,2,1
Germany,Neuköllner Sportfreunde 1907,2,1
Germany,SC Concordia,2,1
Germany,SC Fürstenfeldbruck,2,1
Germany,Southampton,2,1
Germany,VfB Bösingen,2,1
Germany,VfR Aalen,2,1
Ghana,Marseille,2,1
Ghana,RC Strasbourg,2,1
Haiti,Kalonji Soccer Academy,2,1
Haiti,Le Havre AC,2,1
Haiti,Le Mans,2,1
Haiti,Olé Brasil,2,1
Haiti,US Torcy,2,1
IR Iran,Damash Tehran,2,1
IR Iran,Vahdat,2,1
Iraq,Al-Taji,2,1
Iraq,Tuz,2,1
Japan,FC Persimmon,2,1
Japan,Yamanashi Gakuin Univ. High School,2,1
Japan,Yurigaoka Junior SC,2,1
Japan,Zuyo High School,2,1
Korea Republic,Yukminkwan Middle School,2,1
Mexico,Celaya,2,1
Mexico,Once Hermanos,2,1
Mexico,Real Madrid,2,1
Mexico,Santos Laguna,2,1
Morocco,Alphense Boys,2,1
Morocco,Colonia Ofigevi,2,1
Morocco,Mohammed VI Academy,2,1
Morocco,San Francisco,2,1
Norway,Rosenborg,2,1
Norway,Rosenborg BK,2,1
Norway,Sandefjord,2,1
Norway,Sarpsborg 08,2,1
Paraguay,Club 13 de Junio,2,1
Portugal,AMCH Ringe,2,1
Portugal,Casa Benfica Tavira,2,1
Portugal,Despertar,2,1
Portugal,Desportivo das Aves,2,1
Portugal,Os Pestinhas,2,1
Portugal,Palmeiras Braga,2,1
Portugal,Palmeiras FC,2,1
Qatar,HFC Hoei,2,1
Saudi Arabia,Al-Qadsiah,2,1
Scotland,Manchester City,2,1
Senegal,Santhiaba Zinguinchor,2,1
Senegal,Wasquehal,2,1
South Africa,Orlando Pirates,2,1
Spain,Aurrerá Vitoria,2,1
Spain,Bayonne,2,1
Spain,Nueva Roceña,2,1
Sweden,Hattersley,2,1
Switzerland,Aarau,2,1
Switzerland,BC Albisrieden,2,1
Switzerland,Baden,2,1
Switzerland,FC Adligenswil,2,1
Switzerland,FC Amical Saint-Prex,2,1
Switzerland,FC Bursins-Rolle-Perroy,2,1
Switzerland,FC Greifensee,2,1
Switzerland,FC La Côte-Sports,2,1
